time,depth,state,control
0.021,2.5,TIMED_DEEP_1,60
0.527,2.5,TIMED_DEEP_1,60
1.034,2.5,TIMED_DEEP_1,60
1.544,2.5,TIMED_DEEP_1,60
2.049,2.5,TIMED_DEEP_1,60
2.554,2.5,TIMED_DEEP_1,60
3.058,2.5,TIMED_DEEP_1,60
3.563,2.5,TIMED_DEEP_1,60
4.068,2.5,TIMED_DEEP_1,60
4.573,2.5,TIMED_DEEP_1,60
5.078,2.5,TIMED_HOLD_DEEP_1,0
5.583,2.5,TIMED_HOLD_DEEP_1,0
6.088,2.5,TIMED_HOLD_DEEP_1,0
6.594,2.5,TIMED_HOLD_DEEP_1,0
7.1,2.5,TIMED_HOLD_DEEP_1,0
7.61,2.5,TIMED_HOLD_DEEP_1,0
8.115,2.5,TIMED_HOLD_DEEP_1,0
8.62,2.5,TIMED_HOLD_DEEP_1,0
9.125,2.5,TIMED_HOLD_DEEP_1,0
9.63,2.5,TIMED_HOLD_DEEP_1,0
10.135,0.4,TIMED_SHALLOW_1,-60
10.64,0.4,TIMED_SHALLOW_1,-60
11.145,0.4,TIMED_SHALLOW_1,-60
11.65,0.4,TIMED_SHALLOW_1,-60
12.155,0.4,TIMED_SHALLOW_1,-60
12.66,0.4,TIMED_SHALLOW_1,-60
13.166,0.4,TIMED_SHALLOW_1,-60
13.676,0.4,TIMED_SHALLOW_1,-60
14.181,0.4,TIMED_SHALLOW_1,-60
14.686,0.4,TIMED_SHALLOW_1,-60
15.191,0.4,TIMED_HOLD_SHALLOW_1,0
15.696,0.4,TIMED_HOLD_SHALLOW_1,0
16.201,0.4,TIMED_HOLD_SHALLOW_1,0
16.706,0.4,TIMED_HOLD_SHALLOW_1,0
17.211,0.4,TIMED_HOLD_SHALLOW_1,0
17.716,0.4,TIMED_HOLD_SHALLOW_1,0
18.221,0.4,TIMED_HOLD_SHALLOW_1,0
18.726,0.4,TIMED_HOLD_SHALLOW_1,0
19.233,0.4,TIMED_HOLD_SHALLOW_1,0
19.743,0.4,TIMED_HOLD_SHALLOW_1,0
20.248,2.5,TIMED_DEEP_2,60
20.753,2.5,TIMED_DEEP_2,60
21.258,2.5,TIMED_DEEP_2,60
21.763,2.5,TIMED_DEEP_2,60
22.268,2.5,TIMED_DEEP_2,60
22.773,2.5,TIMED_DEEP_2,60
23.278,2.5,TIMED_DEEP_2,60
23.783,2.5,TIMED_DEEP_2,60
24.288,2.5,TIMED_DEEP_2,60
24.793,2.5,TIMED_DEEP_2,60
25.299,2.5,TIMED_HOLD_DEEP_2,0
25.805,2.5,TIMED_HOLD_DEEP_2,0
26.314,2.5,TIMED_HOLD_DEEP_2,0
26.819,2.5,TIMED_HOLD_DEEP_2,0
27.324,2.5,TIMED_HOLD_DEEP_2,0
27.829,2.5,TIMED_HOLD_DEEP_2,0
28.334,2.5,TIMED_HOLD_DEEP_2,0
28.839,2.5,TIMED_HOLD_DEEP_2,0
29.344,2.5,TIMED_HOLD_DEEP_2,0
29.849,2.5,TIMED_HOLD_DEEP_2,0
30.354,0.4,TIMED_SHALLOW_2,-60
30.859,0.4,TIMED_SHALLOW_2,-60
31.365,0.4,TIMED_SHALLOW_2,-60
31.871,0.4,TIMED_SHALLOW_2,-60
32.38,0.4,TIMED_SHALLOW_2,-60
32.885,0.4,TIMED_SHALLOW_2,-60
33.39,0.4,TIMED_SHALLOW_2,-60
33.895,0.4,TIMED_SHALLOW_2,-60
34.4,0.4,TIMED_SHALLOW_2,-60
34.905,0.4,TIMED_SHALLOW_2,-60
35.41,0.4,TIMED_HOLD_SHALLOW_2,0
35.915,0.4,TIMED_HOLD_SHALLOW_2,0
36.42,0.4,TIMED_HOLD_SHALLOW_2,0
36.925,0.4,TIMED_HOLD_SHALLOW_2,0
37.431,0.4,TIMED_HOLD_SHALLOW_2,0
37.937,0.4,TIMED_HOLD_SHALLOW_2,0
38.447,0.4,TIMED_HOLD_SHALLOW_2,0
38.952,0.4,TIMED_HOLD_SHALLOW_2,0
39.457,0.4,TIMED_HOLD_SHALLOW_2,0
39.962,0.4,TIMED_HOLD_SHALLOW_2,0
